0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
1, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
2, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
3, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
4, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
5, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
6, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
7, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
8, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
9, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
10, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
11, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
12, 3, 2, -1.10, -0.00, 2.30, 0.00, -25.00, 0.00 
13, 1, 6, 0.30, 0.10, -1.00, 0.00, 295.00, 0.00 
14, 3, 0, 1.00, 0.00, -1.00, 0.00, 130.00, 0.00 
15, 9, 2, 0.10, 3.20, 0.00, 0.00, 50.00, 0.00 
16, 9, 0, -0.00, 0.00, -0.80, 0.00, 0.00, 0.00 
17, 9, 0, -0.00, 0.00, -1.00, 0.00, 0.00, 0.00 
18, 4, 5, -0.50, 2.00, 0.80, 0.00, 180.00, 0.00 
19, 5, 6, -3.80, -5.20, 0.10, 0.00, 180.00, 0.00 
20, 12, 0, -0.30, 3.10, 0.10, 0.00, 0.00, 0.00 
21, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
22, 2, 4, -3.90, 2.00, 1.50, 0.00, -90.00, 0.00 
23, 2, 0, -3.10, 0.00, 0.00, 0.00, -180.00, 0.00 
